a;ein
aphorism;Aphorismus
redoubtable;furchtbar
corpulent;korpulent
benighted;beneidet
sententious;sittsam
cabal;Kabale
paraphernalia;Utensilien
vitiate;beeinträchtigen
adulation;Verherrlichung
quaff;trinken
unassuming;bescheiden
libertine;Wüstling
maul;Maul
adage;Sprichwort
expostulation;Aufschrei
tawdry;schäbig
trite;banal
hireling;Mietling
ensconce;ensconce
egregious;ungeheuerlich
cogent;überzeugend
incisive;prägnant
errant;fehlgeleitet
sedulous;faul
incandescent;Glühlampen
derelict;verfallen
entomology;Entomologie
execrable;abscheulich
sluice;Schleuse
moot;strittig
evanescent;flüchtig
vat;MwSt
dapper;adrett
asperity;Schärfe
flair;Flair
mote;mote
circumspect;umsichtig
inimical;feindlich
apropos;apropos
gruel;Brei
gentility;Vornehmheit
disapprobation;Missbilligung
cameo;Miniatur
gouge;aushöhlen
oratorio;Oratorium
inclement;unfreundlich
scintilla;Scintilla
confluence;Zusammenfluss
squalor;Elend
stricture;Striktur
emblazon;schmücken
augury;Augur
abut;stoßen an
banal;banal
congeal;erstarren
pilfer;stehlen
malcontent;unzufrieden
sublimate;Sublimat
eugenic;eugenisch
lineament;Lineament
firebrand;Feuerbrand
fiasco;Fiasko
foolhardy;tollkühn
retrench;einschränken
ulterior;später
equable;gleichmäßig
inured;inuriert
invidious;gehässig
unmitigated;unermüdlich
concomitant;begleitend
cozen;betrügen
phlegmatic;phlegmatisch
dormer;Gaube
pontifical;päpstlich
disport;vertreiben
apologist;Apologet
abeyance;schwebend
enclave;Enklave
improvident;unbedarft
disquisition;Abhandlung
categorical;kategorisch
placate;besänftigen
redolent;duftend
felicitous;glücklich
gusty;böig
natty;nett
pacifist;Pazifist
buxom;drall
heyday;Blütezeit
herculean;Herkules
burgeon;knospen
crone;Frau
prognosticate;prognostizieren
lout;Lümmel
simper;simper
iniquitous;ungerecht
rile;ärgern
sentient;fühlend
garish;grell
readjustment;Neueinstellung
erstwhile;früher
aquiline;Adiline
bilious;gallig
vilify;verunglimpfen
nuance;Nuance
gawk;gaffen
refectory;Refektorium
palatial;palastartig
mincing;Zerkleinern
trenchant;pointiert
emboss;prägen
proletarian;Proletarier
careen;kielholen
debacle;Debakel
sycophant;Schmeichler
crabbed;Krabbe
archetype;Archetyp
cryptic;kryptisch
penchant;Vorliebe
bauble;Flitter
mountebank;Scharlatan
fawning;schmollend
hummock;Hügel
apotheosis;Apotheose
discretionary;Ermessensspielraum
pithy;kernig
comport;comport
checkered;kariert
ambrosia;Ambrosia
factious;fanatisch
disgorge;ausspucken
filch;klauen
wraith;Gespenst
demonstrable;nachweisbar
pertinacious;hartnäckig
emend;korrigieren
laggard;Nachzügler
waffle;Waffel
loquacious;redselig
venial;venial
peon;Peon
effulgence;Glanz
lode;Ader
fanfare;Fanfare
dilettante;Dilettant
pusillanimous;pusillanimous
ingrained;tief verwurzelt
quagmire;Sumpf
reprobation;Verwerfung
mannered;manieriert
squeamish;zimperlich
proclivity;Neigung
miserly;geizig
vapid;schlapp
mercurial;mercurial
perspicuous;übersichtlich
nonplus;verblüffen
enamor;Enamour
hackneyed;abgedroschen
spate;Flut
pedagogue;Pädagoge
acme;Gipfel
masticate;kauen
sinecure;Sinekure
indite;indite
emetic;Brechmittel
temporize;provisionieren
unimpeachable;unantastbar
genesis;Genesis
mordant;Beize
smattering;schmatzend
suavity;Ruhe
stentorian;Stentorianer
junket;Junket
appurtenance;Zubehör
nostrum;Nostrum
immure;einmauern
astringent;adstringierend
unfaltering;unbeweglich
tutelage;Vormundschaft
testator;Erblasser
elysian;elysisch
fulminate;wettern
fractious;widerspenstig
pummel;schlagen
manumit;Manumit
unexceptionable;untadelig
triumvirate;Triumvirat
sybarite;Sybarit
jibe;Halse
magisterial;Meisterhaft
roseate;rosé
obloquy;Schmach
hoodwink;hoodwink
striate;streicheln
arrogate;anmaßend
rarefied;verdünnt
chary;vorsichtig
credo;Credo
superannuated;Superannuiert
impolitic;unklug
aspersion;Verleumdung
abysmal;miserabel
poignancy;Schärfe
stilted;gestelzt
effete;effete
provender;Futter
endemic;endemisch
jocund;fröhlich
procedural;verfahrenstechnisch
rakish;schlau
skittish;schwankend
peroration;Peroration
nonentity;Nichts
abstemious;enthaltsam
viscid;klebrig
doggerel;Doggerel
sleight;Geschicklichkeit
rubric;Rubrik
plenitude;Fülle
rebus;Rebus
wizened;verzogen
whorl;Quirl
fracas;Aufruhr
iconoclast;Bilderstürmer
saturnine;Saturnine
madrigal;Madrigal
discursive;diskursiv
zealot;Eiferer
moribund;moribund
modicum;mäßig
connotation;Konnotation
adventitious;zufällig
recondite;verborgen
zephyr;Zephyr
countermand;Widerruf
captious;spitzfindig
cognate;verwandt
forebear;Vorfahr
cadaverous;kadaverhaft
foist;unterschieben
dotage;dotage
nexus;Nexus
choleric;cholerisch
garble;verstümmeln
bucolic;bukolisch
denouement;Auflösung
animus;Animus
overweening;übertrieben
tyro;Anfänger
preen;putzen
largesse;Großzügigkeit
retentive;zurückhaltend
unconscionable;skrupellos
badinage;schlechte Laune
insensate;empfindsam
sherbet;Sorbett
beatific;beatific
bemuse;verwirren
microcosm;Mikrokosmos
factitious;künstlich
gestate;Schwangerschaft
traduce;verleumden
sextant;Sextant
coiffure;Frisur
malleable;formbar
rococo;Rokoko
fructify;befruchten
nihilist;Nihilist
ellipsis;Ellipse
accolade;Akkolade
codicil;Kodizill
roil;Rohling
grandiloquent;Hochtrabant
inconsequential;belanglos
effervescence;Aufbrausen
stultify;verdummen
tureen;Terrine
pellucid;pellucid
euphony;Wohlklang
apocryphal;apokryph
veracious;wahrhaftig
pendulous;hängend
exegesis;Exegese
effluvium;Effluvium
apposite;passend
viscous;viskos
misanthrope;Menschenfeind
vintner;Winzer
halcyon;Halcyon
anthropomorphic;anthropomorph
turgid;schwül
malaise;Unwohlsein
polemical;polemisch
gadfly;Bremse
atavism;Atavismus
contusion;Prellung
parsimonious;sparsam
dulcet;schmeichelhaft
reprise;Reprise
anodyne;unordentlich
bemused;verwirrt
the;das
of;von
to;zu
and;und
a;ein
in;im
is;ist
it;es
you;Sie
that;Das
he;er
was;war
for;zum
on;auf
are;sind
with;mit
as;wie
I;ich
his;seine
they;Sie
be;Sein
at;beim
one;ein
have;haben
this;Dies
from;von
or;oder
had;hätten
by;durch
hot;heiß
word;Wort
but;aber
what;Was
some;etwas
we;wir
can;kann
out;aus
other;andere
were;wurden
all;alle
there;Dort
when;wann
up;oben
use;benutzen
your;Ihre
how;Wie
said;sagte
an;ein
each;jeder
she;sie
which;welche
do;machen
their;ihr
time;Zeit
if;ob
will;werden
way;Weg
about;Über
many;viele
then;dann
them;Sie
write;schreiben
would;würde
like;mögen
so;damit
these;diese
her;ihr
long;lange
make;machen
thing;Ding
see;sehen
him;ihm
two;zwei
has;hat
look;aussehen
more;Mehr
day;Tag
could;könnte
go;gehen
come;Kommen Sie
did;hat getan
number;Nummer
sound;klingen
no;Nein
most;die meisten
people;Menschen
my;meine
over;Über
know;kennt
water;Wasser
than;als
call;Anruf
first;zuerst
who;Wer
may;kann
down;Nieder
side;Seite
been;gewesen
now;jetzt
find;finden
any;irgendein
new;Neu
work;Arbeit
part;Teil
take;nehmen
get;bekommen
place;Ort
made;gemacht
live;Leben
where;woher
after;nach
back;zurück
little;wenig
only;nur
round;runden
man;Mann
year;Jahr
came;kam
show;Show
every;jeden
good;gut
me;mich
give;geben
our;unser
under;unter
name;Name
very;sehr
through;durch
just;gerade
form;bilden
sentence;Satz
great;groß
think;denken
say;sagen
help;Hilfe
low;niedrig
line;Linie
differ;abweichen
turn;Wende
cause;Ursache
much;viel
mean;bedeuten
before;Vor
move;Bewegung
right;Recht
boy;Junge
old;alt
too;auch
same;gleich
tell;sagen
does;tut
set;einstellen
three;drei
want;wollen
air;Luft
well;Gut
also;ebenfalls
play;abspielen
small;klein
end;Ende
put;stellen
home;Zuhause
read;lesen
hand;Hand
port;Hafen
large;groß
spell;buchstabieren
add;hinzufügen
even;sogar
land;Land
here;Hier
must;Muss
big;groß
high;hoch
such;eine solche
follow;Folgen
act;Handlung
why;Warum
ask;Fragen
men;Männer
change;Veränderung
went;ging
light;Licht
kind;nett
off;aus
need;brauchen
house;Haus
picture;Bild
try;Versuchen
us;uns
again;nochmal
animal;Tier
point;Punkt
mother;Mutter
world;Welt
near;in der Nähe von
build;bauen
self;selbst
earth;Erde
father;Vater
head;Kopf
stand;Stand
own;besitzen
page;Seite
should;sollte
country;Land
found;gefunden
answer;Antworten
school;Schule
grow;wachsen
study;Studie
still;immer noch
learn;lernen
plant;Pflanze
cover;Abdeckung
food;Lebensmittel
sun;Sonne
four;vier
between;zwischen
state;Zustand
keep;behalten
eye;Auge
never;noch nie
last;letzte
let;Lassen
thought;habe gedacht
city;Stadt
tree;Baum
cross;Kreuz
farm;Bauernhof
hard;hart
start;Anfang
might;Macht
story;Geschichte
saw;sah
far;weit
sea;Meer
draw;zeichnen
left;links
late;spät
run;Lauf
don't;nicht
while;während
press;Drücken Sie
close;schließen
night;Nacht-
real;echt
life;Leben
few;wenige
north;Norden
open;öffnen
seem;scheinen
together;zusammen
next;Nächster
white;Weiß
children;Kinder
begin;Start
got;bekam
walk;gehen
example;Beispiel
ease;Leichtigkeit
paper;Papier-
group;Gruppe
always;immer
music;Musik-
those;jene
both;beide
mark;Kennzeichen
often;häufig
letter;Brief
until;bis
mile;Meile
river;Fluss
car;Auto
feet;Füße
care;Pflege
second;zweite
book;Buch
carry;tragen
took;dauerte
science;Wissenschaft
eat;Essen
room;Zimmer
friend;Freund
began;begann
idea;Idee
fish;Fisch
mountain;Berg
stop;halt
once;Einmal
base;Base
hear;hören
horse;Pferd
cut;Schnitt
sure;sicher
watch;Uhr
color;Farbe
face;Gesicht
wood;Holz
main;Main
enough;genug
plain;einfach
girl;Mädchen
usual;gewöhnlich
young;jung
ready;bereit
above;über
ever;je
red;rot
list;Liste
though;obwohl
feel;Gefühl
talk;sich unterhalten
bird;Vogel
soon;bald
body;Karosserie
dog;Hund
family;Familie
direct;Direkte
pose;Pose
leave;verlassen
song;Lied
measure;messen
door;Tür
product;Produkt
black;schwarz
short;kurz
numeral;Ziffer
class;Klasse
wind;Wind
question;Frage
happen;geschehen
complete;Komplett
ship;Schiff
area;Bereich
half;Hälfte
rock;Rock
order;Auftrag
fire;Feuer
south;Süd
problem;Problem
piece;Stück
told;erzählte
knew;wusste
pass;bestehen
since;schon seit
top;oben
whole;ganze
king;König
space;Raum
heard;gehört
best;Beste
hour;Stunde
better;besser
true;wahr
during;während
hundred;hundert
five;fünf
remember;merken
step;Schritt
early;früh
hold;halt
west;West-
ground;Boden
interest;Interesse
reach;erreichen
fast;schnell
verb;Verb
sing;singen
listen;Hör mal zu
six;sechs
table;Tabelle
travel;Reise
less;Weniger
morning;Morgen
ten;zehn
simple;einfach
several;mehrere
vowel;Vokal
toward;zu
war;Krieg
lay;legen
against;gegen
pattern;Muster
slow;langsam
center;Center
love;Liebe
person;Person
money;Geld
serve;Dienen
appear;erscheinen
road;Straße
map;Karte
rain;Regen
rule;Regel
govern;regieren
pull;ziehen
cold;kalt
notice;beachten
voice;Stimme
unit;Einheit
power;Leistung
town;Stadt, Dorf
fine;fein
certain;sicher
fly;Fliege
fall;fallen
lead;führen
cry;Schrei
dark;dunkel
machine;Maschine
note;Hinweis
wait;warten
plan;planen
figure;Zahl
star;Star
box;Box
noun;Substantiv
field;Feld
rest;sich ausruhen
correct;richtig
able;fähig
pound;Pfund
done;erledigt
beauty;Schönheit
drive;Fahrt
stood;stand
contain;enthalten
front;Vorderseite
teach;lehren
week;Woche
final;Finale
gave;gab
green;Grün
oh;Oh
quick;schnell
develop;entwickeln
ocean;Ozean
warm;warm
free;frei
minute;Minute
strong;stark
special;Besondere
mind;Verstand
behind;hinter
clear;klar
tail;Schwanz
produce;produzieren
fact;Tatsache
street;Straße
inch;Zoll
multiply;multiplizieren
nothing;nichts
course;Kurs
stay;bleibe
wheel;Rad
full;voll
force;Macht
blue;Blau
object;Objekt
decide;entscheiden
surface;Oberfläche
deep;tief
moon;Mond
island;Insel
foot;Fuß
system;System
busy;beschäftigt
test;Prüfung
record;Aufzeichnung
boat;Boot
common;verbreitet
gold;Gold
possible;möglich
plane;Ebene
stead;Statt
dry;trocken
wonder;Wunder
laugh;Lachen
thousand;tausend
ago;vor
ran;lief
check;prüfen
game;Spiel
shape;gestalten
equate;gleichsetzen
hot;heiß
miss;Fräulein
brought;gebracht
heat;Hitze
snow;Schnee
tire;Reifen
bring;bringen
yes;Ja
distant;entfernt
fill;füllen
east;Osten
paint;Farbe
language;Sprache
among;unter
grand;großartig
ball;Ball
yet;noch
wave;Welle
drop;fallen
heart;Herz
am;bin
present;Geschenk
heavy;schwer
dance;tanzen
engine;Motor
position;Position
arm;Arm
wide;breit
sail;Segel
material;Material
size;Größe
vary;variieren
settle;sich niederlassen
speak;sprechen
weight;Gewicht
general;Allgemeines
ice;Eis
matter;Angelegenheit
circle;Kreis
pair;Paar
include;einschließen
divide;Teilen
syllable;Silbe
felt;fühlte
perhaps;vielleicht
pick;wählen
sudden;plötzlich
count;Anzahl
square;Platz
reason;Grund
length;Länge
represent;vertreten
art;Kunst
subject;Gegenstand
region;Region
energy;Energie
hunt;Jagd
probable;wahrscheinlich
bed;Bett
brother;Bruder
egg;Ei
ride;Reiten
cell;Zelle
believe;glauben
fraction;Fraktion
forest;Wald
sit;sitzen
race;Rennen
window;Fenster
store;Geschäft
summer;Sommer-
train;Zug
sleep;Schlaf
prove;beweisen
lone;einsam
leg;Bein
exercise;Übung
wall;Mauer
catch;Fang
mount;montieren
wish;Wunsch
sky;Himmel
board;Tafel
joy;Freude
winter;Winter
sat;saß
written;geschrieben
wild;wild
instrument;Instrument
kept;gehalten
glass;Glas
grass;Gras
cow;Kuh
job;Job
edge;Kante
sign;Schild
visit;Besuch
past;Vergangenheit
soft;weich
fun;Spaß
bright;hell
gas;Gas
weather;Wetter
month;Monat
million;Million
bear;Bär
finish;Fertig
happy;glücklich
hope;Hoffnung
flower;Blume
clothe;kleiden
strange;seltsam
gone;Weg
jump;springen
baby;Baby
eight;acht
village;Dorf
meet;Treffen
root;Wurzel
buy;Kaufen
raise;erziehen
solve;lösen
metal;Metall
whether;ob
push;drücken
seven;Sieben
paragraph;Absatz
third;dritte
shall;soll
held;gehaltenen
hair;Haar
describe;beschreiben
cook;Koch
floor;Fußboden
either;entweder
result;Ergebnis
burn;brennen
hill;Hügel
safe;sicher
cat;Katze
century;Jahrhundert
consider;Erwägen
type;Art
law;Recht
bit;Bit
coast;Küste
copy;Kopieren
phrase;Phrase
silent;Leise
tall;hoch
sand;Sand
soil;Boden
roll;rollen
temperature;Temperatur
finger;Finger
industry;Industrie
value;Wert
fight;Kampf
lie;Lüge
beat;schlagen
excite;anregen
natural;natürlich
view;Aussicht
sense;Sinn
ear;Ohr
else;sonst
quite;ganz
broke;Pleite
case;Fall
middle;Mitte
kill;töten
son;Sohn
lake;See
moment;Moment
scale;Rahmen
loud;laut
spring;Frühling
observe;beobachten
child;Kind
straight;Gerade
consonant;Konsonant
nation;Nation
dictionary;Wörterbuch
milk;Milch
speed;Geschwindigkeit
method;Methode
organ;Organ
pay;Zahlen
age;Alter
section;Sektion
dress;Kleid
cloud;Wolke
surprise;Überraschung
quiet;ruhig
stone;Stein
tiny;sehr klein
climb;steigen
cool;cool
design;Design
poor;Arm
lot;Menge
experiment;Experiment
bottom;Unterseite
key;Schlüssel
iron;Eisen
single;Single
stick;Stock
flat;eben
twenty;zwanzig
skin;Haut
smile;Lächeln
crease;Falte
hole;Loch
trade;Handel
melody;Melodie
trip;Ausflug
office;Büro
receive;erhalten
row;Reihe
mouth;Mund
exact;genau
symbol;Symbol
die;sterben
least;am wenigsten
trouble;Ärger
shout;schreien
except;außer
wrote;schrieb
seed;Samen
tone;Ton
join;Beitreten
suggest;vorschlagen
clean;reinigen
break;Unterbrechung
lady;Dame
yard;Garten
rise;erhebt euch
bad;Schlecht
blow;Schlag
oil;Öl
blood;Blut
touch;berühren
grew;wuchs
cent;Cent
mix;mischen
team;Mannschaft
wire;Draht
cost;Kosten
lost;hat verloren
brown;braun
wear;tragen
garden;Garten
equal;gleich
sent;geschickt
choose;wählen
fell;fiel
fit;passen
flow;fließen
fair;Messe
bank;Bank
collect;sammeln
save;sparen
control;Steuerung
decimal;Dezimal
gentle;sanft
woman;Frau
captain;Kapitän
practice;trainieren
separate;trennen
difficult;schwer
doctor;Arzt
please;Bitte
protect;schützen
noon;Mittag
whose;deren
locate;Lokalisieren
ring;Ring
character;Charakter
insect;Insekt
caught;gefangen
period;Zeitraum
indicate;zeigen
radio;Radio
spoke;gesprochen
atom;Atom
human;Mensch
history;Geschichte
effect;bewirken
electric;elektrisch
expect;erwarten von
crop;Ernte
modern;modern
element;Element
hit;schlagen
student;Schüler
corner;Ecke
party;Party
supply;liefern
bone;Knochen
rail;Schiene
imagine;vorstellen
provide;zu Verfügung stellen
agree;zustimmen
thus;so
capital;Hauptstadt
won't;Gewohnheit
chair;Stuhl
danger;Achtung
fruit;Obst
rich;Reich
thick;dick
soldier;Soldat
process;verarbeiten
operate;arbeiten
guess;vermuten
necessary;notwendig
sharp;Scharf
wing;Flügel
create;erstellen
neighbor;Nachbar
wash;waschen
bat;Fledermaus
rather;lieber
crowd;Menge
corn;Mais
compare;vergleichen
poem;Gedicht
string;Zeichenfolge
bell;Glocke
depend;abhängen
meat;Fleisch
rub;reiben
tube;Tube
famous;berühmt
dollar;Dollar
stream;Strom
fear;Angst
sight;Sicht
thin;dünn
triangle;Dreieck
planet;Planet
hurry;Eile
chief;Chef
colony;Kolonie
clock;Uhr
mine;Bergwerk
tie;Krawatte
enter;eingeben
major;Haupt
fresh;frisch
search;Suche
send;senden
yellow;Gelb
gun;Gewehr
allow;ermöglichen
print;drucken
dead;tot
spot;Stelle
desert;Wüste
suit;passen
current;Strom
lift;Aufzug
rose;Rose
continue;fortsetzen
block;Block
chart;Diagramm
hat;Hut
sell;verkaufen
success;Erfolg
company;Unternehmen
subtract;subtrahieren
event;Veranstaltung
particular;besonders
deal;Deal
swim;schwimmen
term;Begriff
opposite;Gegenteil
wife;Ehefrau
shoe;Schuh
shoulder;Schulter
spread;Verbreitung
arrange;ordnen
camp;Lager
invent;erfinden
cotton;Baumwolle
born;geboren
determine;bestimmen
quart;Quart
nine;neun
truck;LKW
noise;Lärm
level;Niveau
chance;Chance
gather;versammeln
shop;Geschäft
stretch;strecken
throw;werfen
shine;scheinen
property;Eigentum
column;Säule
molecule;Molekül
select;wählen
wrong;falsch
gray;grau
repeat;wiederholen
require;benötigen
broad;breit
prepare;bereiten
salt;Salz-
nose;Nase
plural;Plural-
anger;Zorn
claim;Anspruch
continent;Kontinent
oxygen;Sauerstoff
sugar;Zucker
death;Tod
pretty;ziemlich
skill;Fertigkeit
women;Frau
season;Jahreszeit
solution;Lösung
magnet;Magnet
silver;Silber-
thank;danken
branch;Ast
match;Spiel
suffix;Suffix
especially;insbesondere
fig;Feige
afraid;Angst
huge;enorm
sister;Schwester
steel;stehlen
discuss;diskutieren
forward;nach vorne
similar;ähnlich
guide;führen
experience;Erfahrung
score;Ergebnis
apple;Apfel
bought;gekauft
led;LED
pitch;Tonhöhe
coat;Mantel
mass;Masse
card;Karte
band;Band
rope;Seil
slip;Unterhose
win;Sieg
dream;Traum
evening;Abend
condition;Bedingung
feed;Futter
tool;Werkzeug
total;gesamt
basic;Basic
smell;Geruch
valley;Tal
nor;Noch
double;doppelt
seat;Sitz
arrive;ankommen
master;Meister
track;Spur
parent;Elternteil
shore;Ufer
division;Aufteilung
sheet;Blatt
substance;Substanz
favor;Gefallen
connect;verbinden
post;Post
spend;verbringen
chord;Akkord
fat;Fett
glad;froh
original;Original
share;Aktie
station;Bahnhof
dad;Papa
bread;Brot
charge;aufladen
proper;richtig
bar;Bar
offer;Angebot
segment;Segment
slave;Sklave
duck;Ente
instant;sofortig
market;Markt
degree;Grad
populate;bevölkern
chick;Küken
dear;sehr geehrter
enemy;Feind
reply;Antworten
drink;Getränk
occur;auftreten
support;Unterstützung
speech;Rede
nature;Natur
range;Angebot
steam;Dampf
motion;Bewegung
path;Pfad
liquid;Flüssigkeit
log;Log
meant;gemeint
quotient;Quotient
teeth;Zähne
shell;Schale
neck;Hals
cot;Kinderbett
the;das
of;von
and;und
a;ein
to;zu
in;im
is;ist
you;Sie
that;Das
it;es
he;er
was;war
for;zum
on;auf
are;sind
as;wie
with;mit
his;seine
they;Sie
I;ich
at;beim
be;Sein
this;Dies
have;haben
from;von
or;oder
one;ein
had;hätten
by;durch
word;Wort
but;aber
not;nicht
what;Was
all;alle
were;wurden
we;wir
when;wann
your;Ihre
can;kann
said;sagte
there;Dort
use;benutzen
an;ein
each;jeder
which;welche
she;sie
do;machen
how;Wie
their;ihr
if;ob
will;werden
up;oben
other;andere
about;Über
out;aus
many;viele
then;dann
them;Sie
these;diese
so;damit
some;etwas
her;ihr
would;würde
make;machen
like;mögen
him;ihm
into;in
time;Zeit
has;hat
look;aussehen
two;zwei
more;Mehr
write;schreiben
go;gehen
see;sehen
number;Nummer
no;Nein
way;Weg
could;könnte
people;Menschen
my;meine
than;als
first;zuerst
water;Wasser
been;gewesen
call;Anruf
who;Wer
oil;Öl
its;es ist
now;jetzt
find;finden
long;lange
down;Nieder
day;Tag
did;hat getan
get;bekommen
come;Kommen Sie
made;gemacht
may;kann
part;Teil
over;Über
new;Neu
sound;klingen
take;nehmen
only;nur
little;wenig
work;Arbeit
know;kennt
place;Ort
year;Jahr
live;Leben
me;mich
back;zurück
give;geben
most;die meisten
very;sehr
after;nach
thing;Ding
our;unser
just;gerade
name;Name
good;gut
sentence;Satz
man;Mann
think;denken
say;sagen
great;groß
where;woher
help;Hilfe
through;durch
much;viel
before;Vor
line;Linie
right;Recht
too;auch
mean;bedeuten
old;alt
any;irgendein
same;gleich
tell;sagen
boy;Junge
follow;Folgen
came;kam
want;wollen
show;Show
also;ebenfalls
around;um
form;bilden
three;drei
small;klein
set;einstellen
put;stellen
end;Ende
does;tut
another;Ein weiterer
well;Gut
large;groß
must;Muss
big;groß
even;sogar
such;eine solche
because;weil
turn;Wende
here;Hier
why;Warum
ask;Fragen
went;ging
men;Männer
read;lesen
need;brauchen
land;Land
different;anders
home;Zuhause
us;uns
move;Bewegung
try;Versuchen
kind;nett
hand;Hand
picture;Bild
again;nochmal
change;Veränderung
off;aus
play;abspielen
spell;buchstabieren
air;Luft
away;Weg
animal;Tier
house;Haus
point;Punkt
page;Seite
letter;Brief
mother;Mutter
answer;Antworten
found;gefunden
study;Studie
still;immer noch
learn;lernen
should;sollte
America;Amerika
world;Welt
high;hoch
every;jeden
near;in der Nähe von
add;hinzufügen
food;Lebensmittel
between;zwischen
own;besitzen
below;unten
country;Land
plant;Pflanze
last;letzte
school;Schule
father;Vater
keep;behalten
tree;Baum
never;noch nie
start;Anfang
city;Stadt
earth;Erde
eye;Auge
light;Licht
thought;habe gedacht
head;Kopf
under;unter
story;Geschichte
saw;sah
left;links
don’t;nicht
few;wenige
while;während
along;eine lange
might;Macht
close;schließen
something;etwas
seem;scheinen
next;Nächster
hard;hart
open;öffnen
example;Beispiel
begin;Start
life;Leben
always;immer
those;jene
both;beide
paper;Papier-
together;zusammen
got;bekam
group;Gruppe
often;häufig
run;Lauf
important;wichtig
until;bis
children;Kinder
side;Seite
feet;Füße
car;Auto
mile;Meile
night;Nacht-
walk;gehen
white;Weiß
sea;Meer
began;begann
grow;wachsen
took;dauerte
river;Fluss
four;vier
carry;tragen
state;Zustand
once;Einmal
book;Buch
hear;hören
stop;halt
without;ohne
second;zweite
later;später
miss;Fräulein
idea;Idee
enough;genug
eat;Essen
face;Gesicht
watch;Uhr
far;weit
Indian;indisch
really;Ja wirklich
almost;fast
let;Lassen
above;über
girl;Mädchen
sometimes;manchmal
mountain;Berg
cut;Schnitt
young;jung
talk;sich unterhalten
soon;bald
list;Liste
song;Lied
being;Sein
leave;verlassen
family;Familie
it’s;es ist
body;Karosserie
music;Musik-
color;Farbe
stand;Stand
sun;Sonne
question;Frage
fish;Fisch
area;Bereich
mark;Kennzeichen
dog;Hund
horse;Pferd
birds;Vögel
problem;Problem
complete;Komplett
room;Zimmer
knew;wusste
since;schon seit
ever;je
piece;Stück
told;erzählte
usually;gewöhnlich
didn’t;nicht
friends;Freunde
easy;einfach
heard;gehört
order;Auftrag
red;rot
door;Tür
sure;sicher
become;werden
top;oben
ship;Schiff
across;über
today;heute
during;während
short;kurz
better;besser
best;Beste
however;jedoch
low;niedrig
hours;Std.
black;schwarz
products;Produkte
happened;passiert
whole;ganze
measure;messen
remember;merken
early;früh
waves;Wellen
reached;erreicht
listen;Hör mal zu
wind;Wind
rock;Rock
space;Raum
covered;bedeckt
fast;schnell
several;mehrere
hold;halt
himself;selbst
toward;zu
five;fünf
step;Schritt
morning;Morgen
passed;bestanden
vowel;Vokal
true;wahr
hundred;hundert
against;gegen
pattern;Muster
numeral;Ziffer
table;Tabelle
north;Norden
slowly;langsam
money;Geld
map;Karte
farm;Bauernhof
pulled;gezogen
draw;zeichnen
voice;Stimme
seen;gesehen
cold;kalt
cried;hat geweint
plan;planen
notice;beachten
south;Süd
sing;singen
war;Krieg
ground;Boden
fall;fallen
king;König
town;Stadt, Dorf
I’ll;Krank
unit;Einheit
figure;Zahl
certain;sicher
field;Feld
travel;Reise
wood;Holz
fire;Feuer
upon;auf
done;erledigt
English;Englisch
road;Straße
halt;Halt
ten;zehn
fly;Fliege
gave;gab
box;Box
finally;endlich
wait;warten
correct;richtig
oh;Oh
quickly;schnell
person;Person
became;wurde
shown;gezeigt
minutes;Protokoll
strong;stark
verb;Verb
stars;Sterne
front;Vorderseite
feel;Gefühl
fact;Tatsache
inches;Zoll
street;Straße
decided;beschlossen
contain;enthalten
course;Kurs
surface;Oberfläche
produce;produzieren
building;Gebäude
ocean;Ozean
class;Klasse
note;Hinweis
nothing;nichts
rest;sich ausruhen
carefully;vorsichtig
scientists;Wissenschaftler
inside;Innerhalb
wheels;Räder
stay;bleibe
green;Grün
known;bekannt
island;Insel
week;Woche
less;Weniger
machine;Maschine
base;Base
ago;vor
stood;stand
plane;Ebene
system;System
behind;hinter
ran;lief
round;runden
boat;Boot
game;Spiel
force;Macht
brought;gebracht
understand;verstehen
warm;warm
common;verbreitet
bring;bringen
explain;erklären
dry;trocken
though;obwohl
language;Sprache
shape;gestalten
deep;tief
thousands;Tausende
yes;Ja
clear;klar
equation;Gleichung
yet;noch
government;Regierung
filled;gefüllt
heat;Hitze
full;voll
hot;heiß
check;prüfen
object;Objekt
am;bin
rule;Regel
among;unter
noun;Substantiv
power;Leistung
cannot;kann nicht
able;fähig
six;sechs
size;Größe
dark;dunkel
ball;Ball
material;Material
special;Besondere
heavy;schwer
fine;fein
pair;Paar
circle;Kreis
include;einschließen
built;gebaut
can’t;kippen
matter;Angelegenheit
square;Platz
syllables;Silben
perhaps;vielleicht
bill;Rechnung
felt;fühlte
suddenly;plötzlich
test;Prüfung
direction;Richtung
center;Center
farmers;Bauern
ready;bereit
anything;etwas
divided;geteilt
general;Allgemeines
energy;Energie
subject;Gegenstand
Europe;Europa
moon;Mond
region;Region
return;Rückkehr
believe;glauben
dance;tanzen
members;Mitglieder
picked;abgeholt
simple;einfach
cells;Zellen
paint;Farbe
mind;Verstand
love;Liebe
cause;Ursache
rain;Regen
exercise;Übung
eggs;Eier
train;Zug
blue;Blau
wish;Wunsch
drop;fallen
developed;entwickelt
window;Fenster
difference;Unterschied
distance;Entfernung
heart;Herz
sit;sitzen
sum;Summe
summer;Sommer-
wall;Mauer
forest;Wald
probably;wahrscheinlich
legs;Beine
sat;saß
